Top 20 Dramas in Backend (include Inactive):
1. Bangkit dari Dosa Palsu | Eps: 60 | Publikasi: Tayang
2. Kembalinya Pewaris Darah Phoenix | Eps: 68 | Publikasi: Tayang
3. Bocah Ajaib Bos  Elbert Sangat Ganas! | Eps: 66 | Publikasi: Tayang
4. Sang Mawar Berduri | Eps: 56 | Publikasi: Tayang
5. Jiwa Bapak Tertukar Anak | Eps: 54 | Publikasi: Tayang
6. Penipu Cinta Kabur Bawa Harta | Eps: 66 | Publikasi: Tayang
7. Cerai! Ternyata Aku Bos Aslimu | Eps: 56 | Publikasi: Tayang
8. Istri Manis Hamil yang Dimanja Suami Kaya Bak Berlian | Eps: 80 | Publikasi: Tayang
9. Selamat Tahun Ular: Andi Memasuki Kota | Eps: 66 | Publikasi: Tayang
10. Salah Sangka Berujung Jadi Ayah | Eps: 80 | Publikasi: Tayang
11. Istri Sah Beraksi Pelakor Gigit Jari | Eps: 71 | Publikasi: Tayang
12. Hadirnya Cinta CEO Yang Tepat Waktu | Eps: 80 | Publikasi: Tayang
13. Pesona Istri Cantik Sang Ratu Mafia | Eps: 63 | Publikasi: Tayang
14. Pacar Gembelku Ternyata Miliarder | Eps: 61 | Publikasi: Tayang
15. Satpamku Jagoan Tiada Lawan | Eps: 77 | Publikasi: Tayang
16. Kembalinya Sang Master Kartu | Eps: 66 | Publikasi: Tayang
17. Tuan Serigala Jangan Makan Aku | Eps: 61 | Publikasi: Tayang
18. Maaf, Aku Memang Ratu Utamanya | Eps: 64 | Publikasi: Tayang
19. Rahasia Pemandian Air Panas | Eps: 39 | Publikasi: Tayang
20. Madam Pulang, Menantu Ditolak | Eps: 72 | Publikasi: Tayang
